value,category,icon,class
微笑,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/5c/huanglianwx_thumb.gif,positive
嘻嘻,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/0b/tootha_thumb.gif,positive
哈哈,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/6a/laugh.gif,positive
可爱,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/14/tza_thumb.gif,positive
可怜,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/af/kl_thumb.gif,negative
挖鼻,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/0b/wabi_thumb.gif,negative
吃惊,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/f4/cj_thumb.gif,neutral
害羞,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/shamea_thumb.gif,neutral
挤眼,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/c3/zy_thumb.gif,positive
闭嘴,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/29/bz_thumb.gif,negative
鄙视,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/71/bs2_thumb.gif,negative
爱你,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/6d/lovea_thumb.gif,positive
泪,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/9d/sada_thumb.gif,negative
偷笑,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/19/heia_thumb.gif,positive
亲亲,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/qq_thumb.gif,positive
生病,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/b6/sb_thumb.gif,negative
太开心,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/58/mb_thumb.gif,positive
白眼,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/d9/landeln_thumb.gif,negative
右哼哼,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/98/yhh_thumb.gif,negative
左哼哼,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/6d/zhh_thumb.gif,negative
嘘,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/a6/x_thumb.gif,neutral
衰,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/af/cry.gif,negative
委屈,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/73/wq_thumb.gif,negative
吐,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/9e/t_thumb.gif,negative
哈欠,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/cc/haqianv2_thumb.gif,negative
抱抱,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/27/bba_thumb.gif,positive
怒,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/7c/angrya_thumb.gif,negative
疑问,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/5c/yw_thumb.gif,neutral
馋嘴,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/a5/cza_thumb.gif,positive
拜拜,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/70/88_thumb.gif,negative
思考,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/e9/sk_thumb.gif,neutral
汗,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/24/sweata_thumb.gif,negative
困,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/40/kunv2_thumb.gif,negative
睡,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/96/huangliansj_thumb.gif,negative
钱,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/90/money_thumb.gif,positive
失望,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/0c/sw_thumb.gif,negative
酷,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/40/cool_thumb.gif,positive
色,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/20/huanglianse_thumb.gif,positive
哼,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/49/hatea_thumb.gif,negative
鼓掌,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/36/gza_thumb.gif,positive
晕,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/d9/dizzya_thumb.gif,negative
悲伤,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/1a/bs_thumb.gif,negative
抓狂,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/62/crazya_thumb.gif,negative
黑线,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/91/h_thumb.gif,negative
阴险,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/6d/yx_thumb.gif,negative
怒骂,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/60/numav2_thumb.gif,negative
互粉,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/89/hufen_thumb.gif,positive
心,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/40/hearta_thumb.gif,positive
伤心,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/ea/unheart.gif,negative
猪头,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/58/pig.gif,negative
熊猫,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/panda_thumb.gif,neutral
兔子,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/81/rabbit_thumb.gif,neutral
ok,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/d6/ok_thumb.gif,positive
耶,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/d9/ye_thumb.gif,positive
good,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/d8/good_thumb.gif,positive
NO,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/ae/buyao_org.gif,negative
赞,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/d0/z2_thumb.gif,positive
来,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/40/come_thumb.gif,positive
弱,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/d8/sad_thumb.gif,negative
草泥马,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/7a/shenshou_thumb.gif,negative
神马,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/60/horse2_thumb.gif,negative
囧,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/15/j_thumb.gif,negative
浮云,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/bc/fuyun_thumb.gif,negative
给力,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/1e/geiliv2_thumb.gif,positive
围观,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/f2/wg_thumb.gif,positive
威武,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/70/vw_thumb.gif,positive
奥特曼,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/bc/otm_thumb.gif,neutral
礼物,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/c4/liwu_thumb.gif,positive
钟,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/d3/clock_thumb.gif,neutral
话筒,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/9f/huatongv2_thumb.gif,neutral
蜡烛,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/d9/lazhuv2_thumb.gif,neutral
蛋糕,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/3a/cakev2_thumb.gif,positive
发红包啦,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/a5/hb_fahongbao2016_thumb.gif,positive
抢到啦,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/65/hb_qiangdao2016_thumb.gif,positive
最右,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/c8/lxhzuiyou_thumb.gif,negative
泪流满面,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/64/lxhtongku_thumb.gif,negative
江南style,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/67/gangnamstyle_thumb.gif,positive
偷乐,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/fa/lxhtouxiao_thumb.gif,positive
加油啊,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/03/lxhjiayou_thumb.gif,positive
doge,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/b6/doge_thumb.gif,neutral
喵喵,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/mm_thumb.gif,neutral
笑cry,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/34/xiaoku_thumb.gif,positive
xkl转圈,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/f4/xklzhuanquan_thumb.gif,positive
芒果得意,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/ee/mango_03_thumb.gif,positive
芒果流口水,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/64/mango_07_thumb.gif,positive
芒果点赞,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/5c/mango_12_thumb.gif,positive
芒果大笑,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/9f/mango_02_thumb.gif,positive
芒果萌萌哒,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/49/mango_11_thumb.gif,positive
羊年大吉,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/cc/yangniandj_thumb.gif,positive
西瓜,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/6b/watermelon.gif,neutral
足球,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/c0/football.gif,neutral
老妈我爱你,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/46/mothersday_thumb.gif,positive
母亲节,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/36/carnation_thumb.gif,neutral
肥皂,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/e5/soap_thumb.gif,neutral
有钱,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/youqian_thumb.gif,positive
地球一小时,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/dc/earth1r_thumb.gif,neutral
国旗,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/dc/flag_thumb.gif,neutral
许愿,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/87/lxhxuyuan_thumb.gif,positive
风扇,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/92/fan.gif,neutral
炸鸡和啤酒,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/f4/zhaji_thumb.gif,positive
雪,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/00/snow_thumb.gif,neutral
马上有对象,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/ee/mashangyouduixiang_thumb.gif,positive
马到成功旧,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/30/madaochenggong_thumb.gif,positive
青啤鸿运当头,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/f8/hongyun_thumb.gif,positive
让红包飞,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/0b/hongbaofei2014_thumb.gif,positive
ali做鬼脸,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/20/alizuoguiliannew_thumb.gif,negative
ali哇,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/de/aliwanew_thumb.gif,positive
酷库熊顽皮,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/46/kxwanpi_thumb.gif,positive
bm可爱,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/95/bmkeai_thumb.gif,positive
BOBO爱你,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/74/boaini_thumb.gif,positive
转发,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/02/lxhzhuanfa_thumb.gif,positive
得意地笑,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/d4/lxhdeyidixiao_thumb.gif,positive
ppb鼓掌,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/ppbguzhang_thumb.gif,positive
din推撞,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/dd/dintuizhuang_thumb.gif,positive
moc转发,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/moczhuanfa_thumb.gif,positive
lt切克闹,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/73/ltqiekenao_thumb.gif,positive
笑哈哈,,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/32/lxhwahaha_thumb.gif,positive
笑哈哈,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/32/lxhwahaha_thumb.gif,positive
转发,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/02/lxhzhuanfa_thumb.gif,positive
得意地笑,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/d4/lxhdeyidixiao_thumb.gif,positive
噢耶,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/3b/lxhxixi_thumb.gif,positive
偷乐,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/fa/lxhtouxiao_thumb.gif,positive
泪流满面,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/64/lxhtongku_thumb.gif,negative
巨汗,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/lxhjuhan_thumb.gif,negative
抠鼻屎,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/48/lxhkoubishi_thumb.gif,negative
求关注,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/ac/lxhqiuguanzhu_thumb.gif,negative
真V5,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/3a/lxhv5_thumb.gif,positive
群体围观,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/a8/lxhweiguan_thumb.gif,positive
hold住,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/05/lxhholdzhu_thumb.gif,neutral
羞嗒嗒,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/df/lxhxiudada_thumb.gif,neutral
非常汗,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/42/lxhpubuhan_thumb.gif,negative
许愿,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/87/lxhxuyuan_thumb.gif,negative
崩溃,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/c7/lxhzhuakuang_thumb.gif,negative
好囧,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/96/lxhhaojiong_thumb.gif,negative
震惊,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/e7/lxhchijing_thumb.gif,neutral
别烦我,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/lxhbiefanwo_thumb.gif,negative
不好意思,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/b4/lxhbuhaoyisi_thumb.gif,negative
